abadi	věčný
abo	kabát, plášť
abr	mrak
abrešim	hedvábí
abru	obočí
adabiyot	literatura
adad	číslo, číslice
adadi butun	celé číslo
adadi juft	sudé číslo
adadi toq	liché číslo
adolat	spravedlnost, právo
afkandan	vrhnout, hodit, odpálit
afkor	názor, mínění, úsudek
afruxtan	zapálit
afsar	voják
afsus	bohužel, naneštěstí
afšondan	třást, otřásat, třepat
afšurdan	vymačkat
aft	tlama, huba
aftida	padlý, spadlý
aftidan	padat, spadnout
aftiš	pád, dopad
afvi	amnestie
afzaliyat	výhoda
afzaliyatnok	výhodný
afzoiš	zvýšení, přirážka
afzudan	zvýšit, zvětšit, stoupat
agar	jestli
ahamiyat	význam, důležitost
ahdnoma	dohoda, úmluva
aholi	obyvatelstvo, populace
ajib	divný, zvláštní
ajina	čarodějnice
ajoib	divný, zvláštní, zajímavý
aka	bratr
aknun	teď, nyní
aksar	většina
aksariyat	většina
alaf	tráva
alayhi	proti
albatta	zajisté, ovšem
allakay	již, už
alohida	oddělený
aloka	pouto, svazek
aloma	znamení
alomat	znak, značka, znaménko
alomati suol	otazník
alomati xitob	vykřičník
aloqa	pouto, svazek
alyumini	hliník
amak	strýc
amaliyot	čin, jednání, děj, skutek, akce
amma	teta
ammo	ale, avšak
amniyat	bezpečnost, bezpečí
amudi	svislý
an'ana	tradice
an'anavi	tradiční
anbuh	hustý, tlustý, silný
andeša	myšlenka
andešai bad	zlá myšlenka
andešidan	myslet, mínit, přemýšlet
andoxtan	hodit, vrhat, střílet, střelit
andoz	daň
andoza	stupeň
anduh	smutek, stesk
angišt	uhlí
anglisi	anglický
angor	prostor, prostranství, plocha, areál
angur	hrozny
angušt	prst
anguštarin	prsten, kroužek
aniq	přesný
anor	granátové jablko
anvo	materiál
anjom	oblek, výroba
apa	sestra
apil	lípa
aqalliyat	menšina
aqibgoh	týl
aql	rozum
arabi	arabský
argon	argon
armani	arménský
aroba	auto
arof	očistec
arra	pila
arrapušt	páteř
artiš	armáda, vojsko
arus	snoubenka
arzan	proso
arzidan	stát, mít cenu
arziši miyona	střední hodnota
arzon	levný, laciný
asab	nerv
asalak	cukr
asar	stopa
asav	kobyla
asiri jangi	válečný zajatec
askari	voják, vojín
asl	základ
aslan	neboť, vskutku, opravdu
asli	prvotní
asorat	zajetí
asosan	hlavně
asosi	hlavní
asosnok	dostatečný
asp	kůň
asror	tajemství
asrori tabiat	tajemství přírody
ašk	slza
ašxos	lidé
avlod	potomstvo
avrang	trůn
avval	počátek, začátek
axmak	blbec, pitomec, idiot
ayb	chyba
aybdor	žaloba, obžaloba
aybdoršuda	obžalovaný
aybnoma	výrok, rozsudek
az	z, od
azob	utrpení
azot	dusík
ba	k, do, směrem k (vyjádření dativu)
babr	lev
bad	špatný, zlý
bahil	lakomý, skoupý
bahor	jaro
bahr	moře
baland šudan	rozmnožovat, zvětšovat, zvyšovat
bale	ano
balki	ale, avšak
bar	šířka
barf	sníh
barkašidan	vážit, zvážit
barobari	rovnost, shoda
baroi	pro, za
baroi či	proč, nač
baron onki	protože
barq	blesk, záblesk
barra	jehně, beránek
barvaqt	záhy, brzy, dříve
bastan	připojit, upevnit, svázat, přišít
baxšidan	prominout, odpustit
baxt	štěstí, blaho
baxtiyor	šťastný
baynulmilal	mezinárodní
be	bez
bed	vrba
begoh	večer
begunoh	nevinný
behtar	lepší
bel	rýč
belorusi	běloruský
bemor	nemocný
benamoud	nehezký, ošklivý
berilli	beryllium
beštar	lépe
beva	vdova
bezan	svobodný
bini	nos
birinj	rýže
bist	dvacet
bo	s
bobo	dědeček
bod	vítr
bodbon	plachta
bofanda	tkadlec
boftan	tkát
bokira	panna
bolqa	kladivo
bom	střecha
boq	zahrada
bor	váha, bor
boridan	pršet
boron	déšť
bosniyagi	bosenský
bozor	trh, bazar
bozsoz	přestavba
brom	brom
budan	být
bum	sova
buqa	býk
bur	křída
burdan	nést, přinést
buridan	stříhat, ostříhat
burj	věž
buron	bouře
busa	polibek
butparasti	pohanství
buvi	babička
buy	vůně, pach
buzurg	velký
čahor	čtyři
čahorum	čtvrtý
čakalak	les
čaman	louka
čana	sáně
čang	prach
čap	levý
čaridan	pást se
čarm	kůže
čaroq	lampa
čarx	kolo
čašm	oko
čašmak	oko
čatr	deštník
čexi	český
či	co, který, jenž
čiz	věc
čodar	závoj, čádor
čoh	studna
čor	čtyři
čorum	čtvrtý
čoy	čaj
čujagirak	jestřáb
čukur	hluboký, důkladný
čulok	kulhavý
čun	ale, avšak
čunki	neboť, protože, poněvadž
čupon	pastýř
čutka	kartáč
daftar	sešit
dah	deset
dahon	ústa
dahum	desátý, desetina
daiman	vždy, stále, pořád
dalel	důkaz
daqiqa	minuta
dar	v, dveře
dar osoištagi	v míru
dar zamoni	za (čas.), po dobu, v čase
darav	úroda, žeň, sklizeň
daraxt	strom
darbon	vrátný
darbor	palác
dard	bolest
daroz	dlouhý
dars	lekce
dast	ruka
dasta	držadlo, rukojeť
dasti čap	levá ruka
dasti rost	pravá ruka
davlat	stát, země
davor zanondan	otočit, obrátit, zatočit
deha	vesnice, ves
dehkon	sedlák, venkovan
der	pozdě
dev	netvor, obluda, stvůra, ďábel
devor	zeď, stěna
didan	vidět
digar	jiný, další
din	náboženství
diqqat	pozor
donistan	vědět, znát, umět
donišjuy	univerzita, vysoká škola
doru	lék
dorusoz	lékárník
doštan	mít
du	dva, dvě
duda	saze
dugona	přítelkyně
dukon	obchůdek
dungi	koš
dunyo	svět
dur	daleký, vzdálený
duraxšidan	lesknout se, třpytit se
duraxšon	lesk, třpyt
duredgar	truhlář
durud	nazdar, ahoj
duruq	lež
dust	přítel
dust doštan	milovat, mít rád
dusti	přátelství
dušanbe	pondělí
dušidan	dojit
dušman	nepřítel
duzd	zloděj
duzdidan	ukrást, odcizit
ehtimol	snad, možná
erdam	pomoc
ey	vyjádření vokativu
fared	výzva, volání
faromuš	opomenutí
faromuš kardan	opomenout
farošturuk	vlaštovka
farš	půda, země
farzand	dítě, syn
fasl	roční období, sezona
faxr kardan	chlubit se
fil	slon
fini	finský
firdavs	ráj
firistodan	poslat, odeslat, zaslat
forsi	perský
fosfor	fosfor
fransavi	francouzský
ftor	fluor
furešanada	obchodní, kupec, obchodník
furu burdan	polykat, hltat
furuš	prodej
furušanda	prodavač
furuxtan	prodávat, prodat
fužak	pijavice
gagauzi	gagauzský
gahvora	kolébka
gala	smečka, hejno, stádo
galli	gallium
ganda	zlý, špatný
gandum	pšenice
ganj	poklad
garavgon	rukojmí
gardan	krk, hrdlo
garm	horký, teplý, vřelý
garmiča	puchýř
gavazn	jelen
gavmija	ječné zrno
gazidan	kousnout, uštknout
gazna	kopřiva
gazvor	plátno, obraz
geli	helium
germani	germanium
gidrogen	vodík
gird	kulatý, okrouhlý
gireh	uzel
giristan	plakat, slzet
giyoh	rostlina, bylina
gov	kráva
guftan	říci, pravit, říkat
gum kardan	zmařit, ztratit, zahubit
gumruk	celnice, clo
gung	němý
gungišk	vrabec
gunoh	hřích
gunoh kardan	zhřešit
gunohkor	hříšný
gur	hrob
gurda	ledvina
gurg	vlk
gurm	suk
gurusna	hladový
gurxar	zebra
gusfand	beran
guš	ucho
gušna šudan	mít hlad, hladovět
gušt	maso
guzoštan	klást, položit, postavit
ha	ano
hafa	smutný, truchlivý
haft	sedm
hafta	týden
haftum	sedmý
hama	všechen, každý, všichni
hama čiz	všechno, vše
hamla	útok
haqiqat	skutečnost
harf	písmeno
harf zadan	mluvit
harguš	koktavý
harom	nečistý
hašt	osm
havo	vzduch, počasí
havopaymo	letadlo
hayot	život
hayvon	zvíře, živočich
hayz	menstruace
hazor	tisíc
hazorum	tisící
hec kas	nikdo, žádný
heč čiz	nic
hissiyot	pocity
holandi	holandský
hujum	útok
hujum kardan	útočit, udeřit, napadnout, zaútočit
iblis	ďábel, satan
ibtido	začátek, počátek
idiš	jidiš
iflok	špinavý
imon	víra
imruz	dnes
in	tento, tato, toto
indoneziyagi	indonéský
intizom	pořádek
injil	evangelium
injo	zde, tady
ioqut	rubín
iroda	vůle
ism	jméno
Iso	Ježíš
ispani	španělský
italiyovi	italský
Iyoloti Muttahida	Spojené státy
iz	stopa
jahidan	skákat, skočit
jahon	svět
jalol	sláva
jang	válka
jangidan	válčit
janub	jih
jar	úvoz, rokle, úžlabina
jav	oves
javdor	žito
javob	odpověď
javon	mladý
javoni	mládí
jevon	skříň
jinsi mardona	mužské pohlaví
jinsi zanona	ženské pohlaví
jiray šepal gel	hlína, jíl
jiyan	synovec
jodugar	kouzelník, čaroděj
jon	duše
joponi	japonský
joq	čelist
jorub	koště, smeták
jovidan	žvýkat
juft	pár, dvojice, sudý
jumla	věta, fráze
kabud	modrý
kabutar	holub
kahrahmon	hrdina
kahva	káva
kalagi	cín
kalamuš	krysa
kali	draslík
kalima	slovo
kalom	slovo
kalpesa	ještěrka
kam	trochu
kambaqal	chudý, ubohý
kamon	oblouk
kandu	úl
kanot	křídlo, peruť
kar	hluchý
karbon	uhlík
kas	osoba
kast	msta, pomsta
kašok	chudý, ubohý
kataloni	katalánský
kay	kdy
každum	štír
kelin	snacha
ki	kdo
kirgizi	kyrgyzský
kirm	červ
kirmin	červivý
kišlok	vesnice
kišvar	země, stát
kitob	kniha
kobalt	kobalt
koh	sláma
koj	jedle
kon	důl
koqazam	papír
kor	práce
kor kardan	pracovat
koreyagi	korejský
korgar	dělník
koridan	sít
kormand	zaměstnanec, pracovník
koštan	zasadit
kripton	krypton
kubidan	mlít
kuča	město
kudak	dítě
kuh	hora
kuhna	starý
kujo	kde
kul	jezero
kulang	volavka
kuloh	čepice
kunj	úhel
kupruk	most
kur	slepý, nevidomý
kurta	šaty
kušiš	snaha, úsilí, námaha
kušodan	otevřít
kuštan	zabít
kuya	mol
lab	ret
lal	safír
langar	kotva
langidan	kulhat
larg	jilm
larzidan	třást se, chvět se
lekin	ale, avšak
liti	lithium
