-am	muj
-as	jeho
-at	tvuj
-eman	nas
-esan	jejich
-etan	vas
-i	neurcity clen (jeden, nejaky, jisty)
-yi	neurcity clen (jeden, nejaky, jisty) po samohlasce
ab	voda
ab e asamidani	pitna voda
Aban	23. rijen - 21. listopad
abar	pres
abi	modry
abjo	pivo
abr	mrak
abrisom	hedvabi
abru	oboci
absar	vodopad
abzar	naradi
ada kardan	vyslovovat
adab	zvyk
adad	cislo
adam e ahani	robot
adamkosi	vrazda
adas	cocka
adel	spravedlivy
adi	normalni
Adine	patek
adres	adresa
afaridan	tvorit
afarin goftan	tleskat, aplaudovat
afat	pohroma
Afqanestan	Afghanistan
afsordegi	deprese
aftabsuxtegi	opaleni, spaleni (slun.)
aftabzadagi	uzeh, upal
agahi	informace
agar	jestli
agarce	prestoze
ah!	ach!
ahak	vapno
ahan	zelezo
ahani	zelezny
aheste	pomaly, pomalu
ahriman	cert, dabel
ajor	cihla
alak	sito
alamat	znamenko, znak
alefba	abeceda
alerzi	alergie
ales	buk
ali	vyborny
Alman	Nemecko
almani	nemecky
alu	svestka
amadan	prichazet, prijit
amas	otok
ambar e asbabha ye mosaferin	uschovna zavazadel
amma	avsak
amme	teta z otcovy strany
amme_ xale	teta
ammu	stryc, stryc z otcovy strany
Amordad	23. cervenec - 22. srpen
amrud	hruska
amuxtan	ucit se
amuzgar	ucitel
an	ono, ten, ta, to, tamten, tamta, tamto
an su	tenhle
ananas	ananas
anar	granatove jablko
anbar	stodola
andar	mezi
andarun	vstup
andarun sodan	vstoupit, vejit
andaze	velikost
andisidan	myslet
anduh	smutek
anfluanza	chripka
angost	prst
angost e pa	prst u nohy
angostar	prsten
angur	hrozen
angur e farangi	angrest
anha	oni, ony, ona (pl.)
anhara	je (akuzativ zajmena)
anja	tam, tamhle
anjir	fik
anra	to / je / ho (akuzativ)
antibiyotik	antibiotikum, antibioticky
apandis	apendix
aqa	pan
aqayan	pani, panove
aqiq e soleymani	onyx
Arab	Arab
arabi	arabsky
aram	ticho, klidny
aranj	loket
Araq	Irak
arayesgah	holicstvi
arayesgah e zanane	kadernictvi
ard	mouka
are	ano
arezu kardan	prat
ari	ano
arqavani	ultrafialovy
arre	pilka
arsiv	archiv
artiso	artycok
artroz	artroza
arzan	levny, laciny
arzantar	levnejsi
arzantarin	nejlevnejsi
arzes	hodnota
as	eso
asab	nerv
asabani	rozhnevany
asabi	nervovy
asal	med
asansor	vytah, zdviz
asb	kun
asbab	zavazadlo
asbab e baziforusi	hrackarstvi
asbab e dast	rucni zavazadlo
asman	nebe
asmani	nebesky
asprin	aspirin
astar	podsivka
astin	rukav
as	polevka
asamidan	pit
ask	slza
asnayi	seznameni (se), poznani
atas	ohen
atasin	ohnivy, horky
atiqe	anticky
atr	vonavka, parfem
atraf	okolo, kolem
avardan	prinest, prinaset
avares	domov
